ECG,Filtered ECG,R peaks,Heart rate
322.44598,,,
320.25,,,
333.426,,,
338.184,,,
325.008,,,
345.138,,,
330.498,,,
348.066,,,
322.08,,,
337.452,,,
345.138,,,
326.472,,,
334.524,,,
341.112,,,
325.008,,,
343.674,,,
322.812,,,
317.322,,,
319.518,,,
319.884,,,
319.152,,,
335.256,,,
342.21,,,
323.544,,,
323.178,,,
324.276,,,
341.478,,,
321.714,,,
325.374,,,
316.224,,,
343.30798,,,
339.28198,,,
345.138,,,
333.792,,,
322.44598,,,
334.88998,,,
324.642,,,
324.276,,,
315.858,,,
343.674,,,
327.204,,,
338.916,,,
342.576,,,
314.39398,,,
333.792,,,
340.38,,,
344.772,,,
320.25,,,
345.87,,,
318.786,,,
333.792,,,
326.83798,,,
324.642,,,
334.88998,,,
339.648,,,
349.53,,,
348.798,,,
343.674,,,
325.74,,,
336.72,,,
345.138,,,
331.962,,,
322.812,,,
321.714,,,
320.982,,,
347.69998,,,
325.74,,,
336.354,,,
318.41998,,,
338.184,,,
315.858,,,
322.44598,,,
330.86398,,,
330.132,,,
339.648,,,
344.406,,,
323.544,,,
346.968,,,
347.69998,,,
344.04,,,
333.792,,,
337.818,,,
319.518,,,
322.08,,,
338.55,,,
321.348,,,
331.596,,,
345.87,,,
322.08,,,
323.178,,,
324.642,,,
317.688,,,
337.452,,,
321.714,,,
343.674,,,
320.25,,,
327.936,,,
341.478,,,
335.988,,,
322.44598,,,
318.41998,,,
320.25,,,
337.086,,,
338.184,,,
327.936,,,
323.91,,,
345.87,,,
341.478,,,
325.374,,,
334.88998,,,
350.262,,,
344.772,,,
322.812,,,
347.33398,,,
329.4,,,
324.642,,,
343.674,,,
336.354,,,
348.432,,,
348.066,,,
328.668,,,
332.328,,,
342.942,,,
310.734,,,
344.406,,,
346.236,,,
325.374,,,
320.25,,,
345.504,,,
346.602,,,
325.008,,,
348.432,,,
322.08,,,
329.034,,,
325.74,,,
340.38,,,
342.942,,,
325.374,,,
337.452,,,
344.04,,,
314.76,,,
326.472,,,
325.374,,,
340.014,,,
329.766,,,
325.008,,,
334.524,,,
328.668,,,
334.158,,,
340.746,,,
349.164,,,
348.432,,,
343.674,,,
335.988,,,
334.158,,,
319.152,,,
323.544,,,
345.87,,,
317.688,,,
335.622,,,
342.942,,,
320.616,,,
323.544,,,
320.616,,,
346.602,,,
342.576,,,
325.008,,,
316.224,,,
325.374,,,
339.648,,,
342.942,,,
343.674,,,
